Firstname,Lastname
Anthony,Ajayi
Beatrice,Maina
Caroline,Kabiru
Emmy,Igonya
Estelle,Sidze
Kenneth,Juma
Yohannes,Wado
Bonnie,Wandera
Amanuel,Abajobir
Ramatou,Ouedraogo
Moses,Ngware
Patricia,Kitsao
Lucy,Wakiaga
Lydia,Namatende
Margaret,Nampijja
Amani,Karisa
Silas,Onyango
Benta,Abuya
Agnes,Kiragga
Daniel,Mwanga
Samuel,Iddi
Steve,Cygu
Peterrock,Muriuki
Mercy,Ndwiga
Naomi,Njenga
Julius,Sindi
Lisa,Omondi
Rita,Karoki
Alypio,Nyandwi
Caven,Kithinji
Benard,Ondiek
Hesborn,Wao
Marta,Vicente-Crespo
Florah,Karimi
Patrick,Owili
Juliet,Ratemo
Isabel,Radoli
Michelle,Mbuthia
Nicholas,Etyang
Abdhalah,Ziraba
Frederick,Wekesah
Elizabeth,Kemigisha
Richard,Sanya
Gershim,Asiki
Shukri,Mohamed
Peter,Otieno
Veronica,Ojiambo
Elizabeth,Kimani
Calistus,Wilunda
Bonventure,Mwangi
Milka,Wanjohi
David,Osogo
Antonina,Mutoro
Jacqueline,Kungú
Alice,Karanja
Dickson,Amugsi
Blessing,Mberu
Caroline,Kabaria
Gloria,Lang'at
Razak,Gyasi
Kanyiva,Muindi
Sheillah,Simiyu
Innocent,Tumwebaze
Grace,Kibunja
Jane,Mangwana
Lynette,Kamau
Alex,Manyasi
Christopher,Maero
Mohammed,Duba
Issabelah,Mutuku
Johnstone,Kotut
Corretta,Tira
Sheena,Kayira
Winnie,Chepkemoi
Pauline,Ochieng
Cliff,Mokua
Joy,Maruti
Bethsheba,Getanda
Joshua,Muthama
George,Gachanga
Phylis,Mungai
Ivy,Nyarango
Patrick,Kiriri
Meshack,Johnson
Evans,Simiyu
Billy,Lubuya
Sylvia,Kimingi
Annaline,Karan
Nancy,Kang’ethe
Joseph,Kanyugo
Lillian,Okoth
Janet,Ayimba
Monica,Njonge
Lillian,Osano
Cheikh,Faye
Diama,Diop Dia
Assane,Diouf
Adero,Godfrey
Anne,Njeri
Martin,Mutua
Sokhna,Thiam
Moustapha,Tall
Eubert,Espira
Arsene,Sandie
El Hadji,Malick Sylla
Rodrigue,Nda’chi Deffo
Bernard,Sabiti
Rornald,Kananura Muhumuza
